OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,96029731.0315857,51065.3135086548
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,55231203.4967957,35500.3473326968
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,248342841.018921,78449.4289355813
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.55691,205231497.04303,87566.5629413572
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,198812770.766724,91926.8395447382
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,82892522.3463135,59055.4173413558
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,178742992.981346,71969.4867081409
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,139386372.837677,55099.1506570023
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,33544256.6792297,29836.7031323092
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,70877325.5365448,41041.0259037143
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2412608696.24837,340845.926403562
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,187657860.986023,75953.9464840529
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,846504824.172562,177073.414168893
14,E06000014,York, ,460864,452589,-1.07375,53.96582,275337173.711197,84247.0793266469
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,78270268.2160492,40201.8369858684
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,73589165.1551971,40830.2301887663
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,391236502.735062,96479.8875935304
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,75870408.9552002,49574.8901430337
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,2180535921.6058,285426.725560056
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,291802973.438316,93575.1938714998
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,92988650.0173569,51304.0331368415
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,348611816.21056,107062.696328706
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47115,109332685.427834,63560.5257930019
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,372310880.979977,109732.131493847
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,522989576.048332,116032.494045316
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,82878635.1636992,49423.7522464011
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,64586473.2809744,56147.5606197803
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,227720526.640511,83649.2541969909
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,341526539.430695,97208.3826482827
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,44068117.7992706,30772.5559397546
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,44204786.1992645,33128.182767915
32,E06000034,Thurrock, ,562123,181590,0.334861,51.50998,162740425.753487,68756.3253888292
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,191217828.310158,112723.919080566
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,108233672.335564,57917.0191370737
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,701217777.186142,143114.430665937
36,E06000038,Reading, ,470226,173154,-0.99071,51.45302,41326311.0230942,30503.9475666732
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32201925.6620255,37004.5367813503
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,197867256.121666,102785.912931044
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,179124859.588287,75874.0016677131
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,309327268.513161,87925.4078110089
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,85523816.9098053,48465.2595079761
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,39179201.5992355,51822.3304973713
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,53090942.7962074,38059.1776022029
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,381511432.225914,107978.588484264
45,E06000047,County Durham, ,410381,532242,-1.8405,54.68513,2231988647.84576,263878.118178794
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1168796057.55982,236392.416985265
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,916830429.661804,214192.150741633
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3188264185.4566,469624.12470206
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.45022,3575313951.67982,545642.943121173
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,13752661.9543321,40530.3598030739
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.32883,3258221477.74877,348922.106721656
52,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,474719272.55294,115792.615220289
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,709169826.973618,200740.568495412
54,E06000057,Northumberland, ,395322,600699,-2.07523,55.30037,5027331191.83116,424724.673556209
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,162067754.690022,94498.5164344831
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,2487596229.28313,388926.042009357
57,E06000060,Buckinghamshire, ,482506,208561,-0.80569,51.76966,1572439224.26833,301381.02531839
58,E06000061,North Northamptonshire, ,493590,281718,-0.62504,52.42546,993517603.335907,173357.257991634
59,E06000062,West Northamptonshire, ,467187,263879,-1.01682,52.26898,1374390676.47778,214647.43532521
60,E08000001,Bolton, ,368352,409873,-2.47952,53.58449,138708159.810562,64700.0073741873
61,E08000002,Bury, ,379658,410768,-2.3088,53.5931,100752668.832565,57024.343964005
62,E08000003,Manchester, ,384591,397063,-2.23359,53.47009,111895372.049988,69389.3342447551
63,E08000004,Oldham, ,396603,406784,-2.05274,53.55768,144009083.688797,60962.5161536524
64,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,156240276.628983,70324.1997306319
65,E08000006,Salford, ,374556,398128,-2.38485,53.47927,97966760.8522491,56607.4574926673
66,E08000007,Stockport, ,391806,388264,-2.12467,53.39116,125536175.953476,56951.0021071987
67,E08000008,Tameside, ,394987,397995,-2.077,53.47867,102159712.453125,43841.7215072139
68,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,108001520.134262,50772.1551214183
69,E08000010,Wigan, ,362136,402126,-2.57247,53.51445,188328606.718338,71520.3471690432
70,E08000011,Knowsley, ,344762,393778,-2.83297,53.43788,86257644.2380219,57788.9038805896
71,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,112980859.111855,54583.1661367886
72,E08000013,St. Helens, ,353412,395992,-2.7031,53.45862,135955079.347725,64907.6417699786
73,E08000014,Sefton, ,334282,398832,-2.99177,53.4821,153196803.521736,90597.9255049208
74,E08000015,Wirral, ,329110,386965,-3.06701,53.37478,152733378.913849,55500.4188905681
75,E08000016,Barnsley, ,429979,403327,-1.54925,53.52577,327231730.553528,106147.881594816
76,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,567273208.501099,116245.904311694
77,E08000018,Rotherham, ,447542,388980,-1.28651,53.39553,289185192.302475,88845.3632514031
78,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,366749529.310562,114173.751548161
79,E08000021,Newcastle upon Tyne, ,422287,569661,-1.65297,55.021,113003066.389252,53430.2042780775
80,E08000022,North Tyneside, ,431471,570602,-1.50923,55.02896,83783921.7871857,48717.7020726929
81,E08000023,South Tyneside, ,435514,564057,-1.44679,54.96988,62186662.1738892,33704.0864721107
82,E08000024,Sunderland, ,436470,551524,-1.43344,54.85719,136397343.069168,57291.2728352348
83,E08000025,Birmingham, ,408150,287352,-1.88141,52.48404,269026608.653671,88776.3432187477
84,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,99799013.6588593,43481.4057273969
85,E08000027,Dudley, ,393191,288584,-2.10171,52.49513,97264778.3219223,60125.2237570879
86,E08000028,Sandwell, ,399573,290764,-2.00771,52.51477,85222122.4991226,48306.2485949548
87,E08000029,Solihull, ,419434,281483,-1.71558,52.431,177542587.9058,82695.4607729411
88,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,104027261.810837,49836.8728324194
89,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788,69466620.7597809,41126.9610793456
90,E08000032,Bradford, ,408395,438626,-1.87389,53.84382,368386843.278992,113226.190390702
91,E08000033,Calderdale, ,402617,424896,-1.96182,53.72048,367618489.551361,94050.2456636643
92,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,405306353.685074,106837.808448509
93,E08000035,Leeds, ,432528,436384,-1.50736,53.82273,550578568.396973,133753.100779886
94,E08000036,Wakefield, ,438366,418235,-1.42092,53.65922,337273075.097092,90373.7394989731
95,E08000037,Gateshead, ,420159,559652,-1.68694,54.93115,147498927.158585,67931.2089342222
96,E09000001,City of London, ,532382,181358,-0.09351,51.51564,2677121.54029846,6902.16449624465
97,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.54555,36394133.785675,31246.0360022268
98,E09000003,Barnet, ,523473,191752,-0.21819,51.61107,86664945.9042206,41943.7866617034
99,E09000004,Bexley, ,549202,175434,0.146212,51.45822,61697815.9174805,36621.9965718303
100,E09000005,Brent, ,519615,186465,-0.27568,51.56438,44179370.1184082,33216.3568265264
101,E09000006,Bromley, ,542036,165707,0.039246,51.37266,150198717.658524,63022.478374478
102,E09000007,Camden, ,527491,184283,-0.16291,51.54305,21269432.2465897,22059.4704119237
103,E09000008,Croydon, ,533922,164744,-0.07761,51.36597,85975622.9609299,46714.4072791115
104,E09000009,Ealing, ,517055,181959,-0.3141,51.52442,54703293.5004959,39296.8632324368
105,E09000010,Enfield, ,532831,196198,-0.08144,51.64889,83007482.2971954,37695.486839901
106,E09000011,Greenwich, ,542507,175878,0.050093,51.46394,47365109.4668427,37969.729649055
107,E09000012,Hackney, ,534560,185787,-0.06045,51.55492,19832965.0710449,21351.2523509213
108,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.48733,17334834.7195663,20302.428508753
109,E09000014,Haringey, ,531260,189349,-0.1067,51.58771,28656867.0462112,25726.8573241027
110,E09000015,Harrow, ,515359,189736,-0.33598,51.59467,51801479.5922928,31182.0556027942
111,E09000016,Havering, ,555032,187514,0.235368,51.56519,113343593.640938,58347.626843051
112,E09000017,Hillingdon, ,508166,183121,-0.44182,51.53664,115513311.430077,55983.0930020593
113,E09000018,Hounslow, ,512737,174959,-0.37855,51.46238,56820418.8694992,46714.5720246651
114,E09000019,Islington, ,531160,184645,-0.10989,51.54546,15147055.2425613,17529.0688543184
115,E09000020,Kensington and Chelsea, ,525756,179058,-0.18977,51.49648,11387818.7860947,17844.7683544188
116,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.39296,37995818.5028,33046.9870092212
117,E09000022,Lambeth, ,531118,175629,-0.11385,51.46445,27177247.5817642,28899.8874209809
118,E09000023,Lewisham, ,537888,173343,-0.01734,51.4423,34349575.7534714,30899.7611485654
119,E09000024,Merton, ,526068,169508,-0.18868,51.41058,37363852.638855,27911.0856494803
120,E09000025,Newham, ,540713,183346,0.027261,51.53149,37051007.3367844,25735.8953567101
121,E09000026,Redbridge, ,543512,189477,0.070085,51.58588,57732626.1653061,36057.1402258099
122,E09000027,Richmond upon Thames, ,519005,172650,-0.28914,51.44035,57385323.2453613,45187.6673605975
123,E09000028,Southwark, ,533945,175869,-0.07308,51.46594,29841652.261528,28202.7550044207
124,E09000029,Sutton, ,527357,163639,-0.17226,51.35755,44490891.071579,32955.8516850641
125,E09000030,Tower Hamlets, ,536340,181452,-0.03647,51.51554,19520427.9490662,25466.6642399339
126,E09000031,Waltham Forest, ,537328,190278,-0.0188,51.59461,39280519.9152603,28358.2612712938
127,E09000032,Wandsworth, ,525152,174138,-0.20021,51.4524,35067557.863739,32987.6374953794
128,E09000033,Westminster, ,528268,180871,-0.15295,51.51221,22896812.7878189,22657.0608258363
129,E10000003,Cambridgeshire, ,520312,273864,-0.23506,52.34966,3056053132.91615,366338.051142091
130,E10000006,Cumbria, ,341868,527180,-2.90213,54.63638,6832513382.76744,542080.49545509
131,E10000007,Derbyshire, ,426752,353556,-1.6021,53.07858,2549660378.18987,372264.838782947
132,E10000008,Devon, ,283143,93085,-3.65698,50.72558,6584991274.36257,596829.069285223
133,E10000011,East Sussex, ,564123,117996,0.334559,50.93805,1721427361.80535,220343.072799337
134,E10000012,Essex, ,575270,215407,0.54106,51.80982,3469601037.97041,555794.930567141
135,E10000013,Gloucestershire, ,389595,213465,-2.15235,51.81971,2697361011.24324,350832.894734173
136,E10000014,Hampshire, ,452859,127536,-1.24735,51.04474,3676624676.439,473806.600566658
137,E10000015,Hertfordshire, ,518883,213642,-0.27699,51.80879,1642273719.28583,260398.418146271
138,E10000016,Kent, ,590249,147268,0.72137,51.19295,3543552715.83951,422943.878148242
139,E10000017,Lancashire, ,369784,440758,-2.46091,53.86216,2910097587.13398,421672.508075235
140,E10000018,Leicestershire, ,442147,310191,-1.3779,52.68779,2087260503.02726,300917.10238294
141,E10000019,Lincolnshire, ,517984,358539,-0.23884,53.11102,5949379695.80135,485590.829388433
142,E10000020,Norfolk, ,600549,312292,0.964714,52.67123,5380657359.51498,397564.274052548
143,E10000023,North Yorkshire, ,429509,466515,-1.55032,54.09371,8054149817.38329,662878.727118664
144,E10000024,Nottinghamshire, ,466570,359496,-1.00656,53.1285,2087469891.29843,306556.542186428
145,E10000025,Oxfordshire, ,448985,208334,-1.29146,51.77155,2608127868.28779,342246.176637247
146,E10000027,Somerset, ,309300,131077,-3.29595,51.07182,3461188734.33486,377233.557263388
147,E10000028,Staffordshire, ,398243,334651,-2.02756,52.9093,2628222824.73929,398317.245972007
148,E10000029,Suffolk, ,608219,266120,1.04919,52.25385,3825092960.01264,423822.83513328
149,E10000030,Surrey, ,515966,153408,-0.33911,51.26803,1667746520.05972,229434.0909192
150,E10000031,Warwickshire, ,429584,253588,-1.56874,52.17977,1973991936.10195,332487.578164074
151,E10000032,West Sussex, ,508316,118010,-0.45933,50.95134,1995889431.33896,268047.352169095
152,E10000034,Worcestershire, ,385792,257203,-2.20935,52.21287,1743379750.31439,306514.861096251
153,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.69386,725800900.120255,145231.019636579
154,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,1436130454.06779,200894.65894096
155,N09000003,Belfast, ,146465,529747,-5.92535,54.59853,137794045.948524,55370.5928221429
156,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.03962,1985252735.1104,285674.037232756
157,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,1246637562.23222,232729.547862666
158,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.38521,3009094379.15598,353603.406453789
159,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,511681193.38274,133181.921325895
160,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,1064497440.10838,198438.99519978
161,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.55273,1960344170.3862,267949.605613351
162,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.14953,1686596198.20423,292916.734120249
163,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.56409,568030930.81765,133209.669094846
164,S12000005,Clackmannanshire, ,291178,696402,-3.75316,56.14784,162845692.195908,72430.0037943694
165,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6444950609.26756,672020.997095968
166,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.49674,1272832615.86668,276686.020027799
167,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,678145466.377594,140169.73281082
168,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,175683611.934464,75237.1219538965
169,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.19938,3039223462.58513,1598293.41932145
170,S12000014,Falkirk, ,285585,680168,-3.83619,56.00075,299676109.961548,106975.967832114
171,S12000017,Highland, ,241018,858292,-4.66103,57.58657,26119282747.4341,3078817.46531343
172,S12000018,Inverclyde, ,227922,670894,-4.75387,55.9003,163739391.541351,61858.0599087551
173,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,354813985.93425,110233.8412277
174,S12000020,Moray, ,328015,843590,-3.20202,57.4768,2250631435.12309,339066.360121661
175,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,880766049.365005,256095.25940534
176,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,992881457.774963,769874.412014164
177,S12000026,Scottish Borders, ,345889,626137,-2.85869,55.52595,4743912076.49902,430321.245135751
178,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.50495,1430660049.30353,1177262.05009023
179,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1221025268.86559,246313.432250481
180,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1771615500.64397,247590.081940624
181,S12000030,Stirling, ,255980,708769,-4.32595,56.24953,2259083398.41556,286927.508850726
182,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.16697,186578693.000488,81373.8980626391
183,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.23469,6321075874.66251,549934.652753982
184,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,6962629958.00507,2180164.90417448
185,S12000036,City of Edinburgh, ,320193,669417,-3.27826,55.9112,263257604.883408,88848.0201269482
186,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.84862,269710246.439316,89379.6211989031
187,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,179457861.602951,73529.8749478943
188,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,427172556.685608,113022.002886719
189,S12000041,Angus, ,345506,759636,-2.8921,56.72518,2194117982.30219,245544.533643781
190,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,57821977.2098694,39632.7891345904
191,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,173578352.18251,83606.6273080683
192,S12000047,Fife, ,339187,704721,-2.98251,56.23112,1323366700.5894,248412.104097408
193,S12000048,Perth and Kinross, ,284302,744185,-3.88484,56.57528,5385357474.75748,485178.461844592
194,S12000049,Glasgow City, ,261534,667033,-4.21479,55.87649,178529066.400253,87927.4678219518
195,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.86814,470403040.707123,139061.786893944
196,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.32298,53.27931,715209682.948448,178624.878323365
197,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2553433037.99784,411986.283105436
198,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.14739,1137063898.89409,195518.028627728
199,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08833,834229700.102371,188285.825767837
200,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,433977246.850761,129379.645121308
201,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.00167,506885367.147919,155283.77627925
202,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.29795,1781831218.38643,256694.164436773
203,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.85513,1628763846.90121,361107.053246735
204,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.89495,2381092295.26535,284419.084953587
205,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.65806,383642324.192703,116627.963704057
206,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,446557917.441917,119094.921177167
207,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,249408149.893684,76260.2886923601
208,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39801,51.44836,329187507.046158,86698.3425244419
209,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.50254,142068104.619137,54383.2370706351
210,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.62185,422322765.345913,112336.533505479
211,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65001,277815064.267841,98224.5000004764
212,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75364,109273372.239006,58166.9529683021
213,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,125716747.279713,68469.967277748
214,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.77827,854473392.064545,181596.37947322
215,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,192540015.193893,81882.1942381903
216,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5199755131.33841,504309.884218643
217,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.74858,113429186.940109,59195.3263419334
